Episode,Total Reward,Goal Reached
1,-113.0,False
2,81.0,True
3,82.0,True
4,-29.0,False
5,-28.0,False
6,82.0,True
7,-28.0,False
8,82.0,True
9,-28.0,False
10,82.0,True
11,-28.0,False
12,82.0,True
13,-28.0,False
14,82.0,True
15,82.0,True
16,82.0,True
17,82.0,True
18,82.0,True
19,-28.0,False
20,83.0,True
21,-28.0,False
22,82.0,True
23,83.0,True
24,-27.0,False
25,83.0,True
26,83.0,True
27,83.0,True
28,83.0,True
29,83.0,True
30,83.0,True
31,83.0,True
32,83.0,True
33,83.0,True
34,-27.0,False
35,-27.0,False
36,-27.0,False
37,-27.0,False
38,-27.0,False
39,-28.0,False
40,-27.0,False
41,-27.0,False
42,-27.0,False
43,-28.0,False
44,-27.0,False
45,-27.0,False
46,-27.0,False
47,-27.0,False
48,-28.0,False
49,83.0,True
50,-28.0,False
51,-27.0,False
52,82.0,True
53,83.0,True
54,83.0,True
55,-113.0,False
56,-113.0,False
57,83.0,True
58,83.0,True
59,82.0,True
60,83.0,True
61,83.0,True
62,83.0,True
63,82.0,True
64,-113.0,False
65,83.0,True
66,83.0,True
67,83.0,True
68,83.0,True
69,83.0,True
70,82.0,True
71,83.0,True
72,-27.0,False
73,83.0,True
74,83.0,True
75,83.0,True
76,83.0,True
77,83.0,True
78,-113.0,False
79,83.0,True
80,83.0,True
81,83.0,True
82,83.0,True
83,83.0,True
84,83.0,True
85,-27.0,False
86,-27.0,False
87,-27.0,False
88,-27.0,False
89,-27.0,False
90,-27.0,False
91,-27.0,False
92,-27.0,False
93,-27.0,False
94,-27.0,False
95,-27.0,False
96,-27.0,False
97,-27.0,False
98,83.0,True
99,83.0,True
100,83.0,True
101,83.0,True
102,83.0,True
103,83.0,True
104,83.0,True
105,83.0,True
106,83.0,True
107,83.0,True
108,-27.0,False
109,-112.0,False
110,-27.0,False
111,-28.0,False
112,-29.0,False
113,-29.0,False
114,-29.0,False
115,-29.0,False
116,-29.0,False
117,-29.0,False
118,-29.0,False
119,-29.0,False
120,-29.0,False
121,-29.0,False
122,-29.0,False
123,-29.0,False
124,-29.0,False
125,-29.0,False
126,-29.0,False
127,-29.0,False
128,-29.0,False
129,-29.0,False
130,-29.0,False
131,-29.0,False
132,-29.0,False
133,-29.0,False
134,-29.0,False
135,-29.0,False
136,-29.0,False
137,-29.0,False
138,-29.0,False
139,-29.0,False
140,-29.0,False
141,-29.0,False
142,-29.0,False
143,-29.0,False
144,-29.0,False
145,-29.0,False
146,-29.0,False
147,-29.0,False
148,-29.0,False
149,-29.0,False
150,-29.0,False
151,-29.0,False
152,-29.0,False
153,-29.0,False
154,-29.0,False
155,-29.0,False
156,-29.0,False
157,-29.0,False
158,-29.0,False
159,-29.0,False
160,-29.0,False
161,-29.0,False
162,-29.0,False
163,-29.0,False
164,-29.0,False
165,-29.0,False
166,-29.0,False
167,-29.0,False
168,-29.0,False
169,-29.0,False
170,-29.0,False
171,-29.0,False
172,-29.0,False
173,-29.0,False
174,-29.0,False
175,-29.0,False
176,-29.0,False
177,-29.0,False
178,-29.0,False
179,-29.0,False
180,-29.0,False
181,-29.0,False
182,-29.0,False
183,-29.0,False
184,-29.0,False
185,-29.0,False
186,-29.0,False
187,-29.0,False
188,-29.0,False
189,-29.0,False
190,-29.0,False
191,-29.0,False
192,-29.0,False
193,-29.0,False
194,-29.0,False
195,-29.0,False
196,-29.0,False
197,-29.0,False
198,-29.0,False
199,-29.0,False
200,-29.0,False
201,-29.0,False
202,-29.0,False
203,-29.0,False
204,-29.0,False
205,-29.0,False
206,-29.0,False
207,-29.0,False
208,-29.0,False
209,-29.0,False
210,-29.0,False
211,-29.0,False
212,-29.0,False
213,-29.0,False
214,-29.0,False
215,-29.0,False
216,-29.0,False
217,-29.0,False
218,-29.0,False
219,-29.0,False
220,-29.0,False
221,-29.0,False
222,-29.0,False
223,-29.0,False
224,-29.0,False
225,-29.0,False
226,-29.0,False
227,-29.0,False
228,-29.0,False
229,-29.0,False
230,-29.0,False
231,-29.0,False
232,-29.0,False
233,-29.0,False
234,-29.0,False
235,-29.0,False
236,-29.0,False
237,-29.0,False
238,-29.0,False
239,-29.0,False
240,-29.0,False
241,-29.0,False
242,-29.0,False
243,-29.0,False
244,-29.0,False
245,-29.0,False
246,-29.0,False
247,-29.0,False
248,-29.0,False
249,-29.0,False
250,-29.0,False
251,-29.0,False
252,-29.0,False
253,-29.0,False
254,-29.0,False
255,-29.0,False
256,-29.0,False
257,-29.0,False
258,-29.0,False
259,-29.0,False
260,-29.0,False
261,-29.0,False
262,-29.0,False
263,-29.0,False
264,-29.0,False
265,-29.0,False
266,-29.0,False
267,-29.0,False
268,-29.0,False
269,-29.0,False
270,-29.0,False
271,-29.0,False
272,-29.0,False
273,-29.0,False
274,-29.0,False
275,-29.0,False
276,-29.0,False
277,-29.0,False
278,-29.0,False
279,-29.0,False
280,-29.0,False
281,-29.0,False
282,-29.0,False
283,-29.0,False
284,-29.0,False
285,-29.0,False
286,-29.0,False
287,-29.0,False
288,-29.0,False
289,-29.0,False
290,-29.0,False
291,-29.0,False
292,-29.0,False
293,-29.0,False
