Episode,Total Reward,Goal Reached
1,83.0,True
2,83.0,True
3,83.0,True
4,-27.0,False
5,-113.0,False
6,82.0,True
7,-28.0,False
8,-28.0,False
9,-28.0,False
10,-28.0,False
11,-28.0,False
12,-28.0,False
13,-28.0,False
14,-28.0,False
15,-28.0,False
16,-28.0,False
17,-28.0,False
18,-28.0,False
19,-28.0,False
20,-28.0,False
21,-28.0,False
22,-28.0,False
23,-27.0,False
24,-28.0,False
25,-27.0,False
26,-27.0,False
27,-27.0,False
28,-28.0,False
29,83.0,True
30,-27.0,False
31,-27.0,False
32,-27.0,False
33,83.0,True
34,-27.0,False
35,83.0,True
36,83.0,True
37,83.0,True
38,-27.0,False
39,-27.0,False
40,83.0,True
41,83.0,True
42,83.0,True
43,83.0,True
44,83.0,True
45,83.0,True
46,83.0,True
47,83.0,True
48,83.0,True
49,83.0,True
50,83.0,True
51,83.0,True
52,83.0,True
53,83.0,True
54,83.0,True
55,83.0,True
56,-27.0,False
57,83.0,True
58,83.0,True
59,83.0,True
60,83.0,True
61,83.0,True
62,83.0,True
63,83.0,True
64,83.0,True
65,-28.0,False
66,-27.0,False
67,-28.0,False
68,-27.0,False
69,-27.0,False
70,-27.0,False
71,-27.0,False
72,-28.0,False
73,-27.0,False
74,-27.0,False
75,-113.0,False
76,83.0,True
77,83.0,True
78,-28.0,False
79,-28.0,False
80,-28.0,False
81,-28.0,False
82,-28.0,False
83,-28.0,False
84,-28.0,False
85,-27.0,False
86,-28.0,False
87,-28.0,False
88,-28.0,False
89,-28.0,False
90,-28.0,False
91,-28.0,False
92,-28.0,False
93,-28.0,False
94,-28.0,False
95,-28.0,False
96,-28.0,False
97,-28.0,False
98,-28.0,False
99,-28.0,False
100,-28.0,False
101,-28.0,False
102,-28.0,False
103,-28.0,False
104,-28.0,False
105,-28.0,False
106,-28.0,False
107,-28.0,False
108,-28.0,False
109,-28.0,False
110,-28.0,False
111,-28.0,False
112,-28.0,False
113,-28.0,False
114,-27.0,False
115,-28.0,False
116,-28.0,False
117,-28.0,False
118,-28.0,False
119,-28.0,False
120,-28.0,False
121,-28.0,False
122,-28.0,False
123,-28.0,False
124,-28.0,False
125,83.0,True
126,83.0,True
127,-28.0,False
128,-28.0,False
129,-28.0,False
130,-28.0,False
131,-28.0,False
132,-28.0,False
133,-28.0,False
134,-28.0,False
135,82.0,True
136,-113.0,False
137,82.0,True
138,83.0,True
139,-27.0,False
140,-27.0,False
141,-28.0,False
142,-27.0,False
143,-27.0,False
144,82.0,True
145,82.0,True
146,83.0,True
147,-113.0,False
148,-113.0,False
149,-113.0,False
150,83.0,True
151,-28.0,False
152,-28.0,False
153,83.0,True
154,-113.0,False
155,83.0,True
156,-113.0,False
157,83.0,True
158,83.0,True
159,83.0,True
160,-112.0,False
161,-113.0,False
162,83.0,True
163,83.0,True
164,83.0,True
165,-112.0,False
166,83.0,True
167,83.0,True
168,83.0,True
169,83.0,True
170,83.0,True
171,83.0,True
172,-27.0,False
173,83.0,True
174,83.0,True
175,83.0,True
176,83.0,True
177,83.0,True
178,83.0,True
179,83.0,True
180,83.0,True
181,83.0,True
182,83.0,True
183,83.0,True
184,-27.0,False
185,83.0,True
186,83.0,True
187,83.0,True
188,83.0,True
189,83.0,True
190,83.0,True
191,83.0,True
192,83.0,True
193,-27.0,False
194,83.0,True
195,83.0,True
196,83.0,True
197,83.0,True
198,-112.0,False
199,83.0,True
200,83.0,True
201,83.0,True
202,83.0,True
