Episode,Total Reward,Goal Reached
1,-113.0,False
2,82.0,True
3,-113.0,False
4,82.0,True
5,82.0,True
6,82.0,True
7,82.0,True
8,82.0,True
9,82.0,True
10,-113.0,False
11,82.0,True
12,81.0,True
13,82.0,True
14,-113.0,False
15,82.0,True
16,82.0,True
17,-28.0,False
18,82.0,True
19,82.0,True
20,82.0,True
21,82.0,True
22,82.0,True
23,82.0,True
24,82.0,True
25,-28.0,False
26,-113.0,False
27,82.0,True
28,-113.0,False
29,-28.0,False
30,82.0,True
31,82.0,True
32,83.0,True
33,83.0,True
34,83.0,True
35,82.0,True
36,82.0,True
37,83.0,True
38,-113.0,False
39,82.0,True
40,82.0,True
41,82.0,True
42,82.0,True
43,83.0,True
44,-113.0,False
45,83.0,True
46,82.0,True
47,82.0,True
48,83.0,True
49,-113.0,False
50,82.0,True
51,82.0,True
52,-28.0,False
53,82.0,True
54,82.0,True
55,82.0,True
56,82.0,True
57,82.0,True
58,82.0,True
59,82.0,True
60,82.0,True
61,82.0,True
62,82.0,True
63,82.0,True
64,-29.0,False
65,82.0,True
66,82.0,True
67,83.0,True
68,-28.0,False
69,82.0,True
70,-113.0,False
71,82.0,True
72,82.0,True
73,82.0,True
74,-28.0,False
75,82.0,True
76,-28.0,False
77,82.0,True
78,81.0,True
79,82.0,True
80,-28.0,False
81,-28.0,False
82,82.0,True
83,82.0,True
84,82.0,True
85,-113.0,False
86,82.0,True
87,82.0,True
88,-113.0,False
89,-28.0,False
90,82.0,True
91,82.0,True
92,82.0,True
93,81.0,True
94,82.0,True
95,-113.0,False
96,82.0,True
97,82.0,True
98,-28.0,False
99,82.0,True
100,82.0,True
101,82.0,True
102,81.0,True
103,82.0,True
104,82.0,True
105,82.0,True
106,82.0,True
107,82.0,True
108,-113.0,False
109,-113.0,False
110,-28.0,False
111,-113.0,False
112,82.0,True
113,-28.0,False
114,82.0,True
115,-28.0,False
116,82.0,True
117,82.0,True
118,82.0,True
119,82.0,True
120,82.0,True
121,82.0,True
122,-113.0,False
123,-28.0,False
124,83.0,True
125,-28.0,False
126,82.0,True
127,-28.0,False
128,82.0,True
129,81.0,True
130,82.0,True
131,-113.0,False
132,82.0,True
133,82.0,True
134,-113.0,False
135,82.0,True
136,-28.0,False
137,82.0,True
138,81.0,True
139,82.0,True
140,82.0,True
141,82.0,True
142,82.0,True
143,83.0,True
144,82.0,True
145,82.0,True
146,-113.0,False
147,82.0,True
148,81.0,True
149,83.0,True
150,82.0,True
151,-113.0,False
152,82.0,True
153,82.0,True
154,-28.0,False
155,-113.0,False
156,82.0,True
157,82.0,True
158,82.0,True
159,82.0,True
160,82.0,True
